query,name,name_for_emails,site,subtypes,category,type,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,h3,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,typical_time_spent,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,location_reviews_link,place_id,google_id,cid,kgmid,reviews_id,located_google_id
"coffee, Bandung, West Java, ID",Kopi Toko Djawa (Braga),Kopi Toko Djawa Braga,http://www.instagram.com/kopitokodjawa,Kedai Kopi,kedai kopi,Kedai Kopi,+62 899-6979-748,"Jl. Braga No.81, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111","Braga, Kecamatan Sumur Bandung",Jl. Braga No.81,Kota Bandung,40111,Jawa Barat,,Indonesia,ID,-6.9174516,107.609234,898c1479eabffff,Asia/Jakarta,,FALSE,4.6,4202,"https://search.google.com/local/reviews?placeid=ChIJfy3R1z3naC4RviKS1hUAqFU&q=coffee,+Bandung,+West+Java,+ID&authuser=0&hl=in&gl=ID",,,40,33,220,960,2949,7597,https://lh5.googleusercontent.com/p/AF1QipPHCmqSlqX7tNSdUmk6CoG05HsG9tEMWABVQTRe=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPHCmqSlqX7tNSdUmk6CoG05HsG9tEMWABVQTRe=w1600-h1000-k-no,,"{""Senin"": ""08.00-22.00"", ""Selasa"": ""08.00-22.00"", ""Rabu"": ""08.00-22.00"", ""Kamis"": ""08.00-22.00"", ""Jumat"": ""08.00-22.00"", ""Sabtu"": ""08.00-22.00"", ""Minggu"": ""08.00-22.00""}",Senin:08.00-22.00|Selasa:08.00-22.00|Rabu:08.00-22.00|Kamis:08.00-22.00|Jumat:08.00-22.00|Sabtu:08.00-22.00|Minggu:08.00-22.00,,,OPERATIONAL,"{""Opsi layanan"": {""Antar tanpa bertemu"": true, ""Pesan antar"": true, ""Layanan di tempat"": true, ""Bawa pulang"": true, ""Makan di tempat"": true}, ""Aksesibilitas"": {""Kursi khusus pengguna kursi roda"": false, ""Pintu masuk khusus pengguna kursi roda"": false, ""Tempat parkir khusus pengguna kursi roda"": false}, ""Penawaran"": {""Kopi"": true}, ""Pilihan makan"": {""Sarapan"": true, ""Makan siang"": true, ""Makan malam"": true, ""Katering"": true, ""Hidangan penutup"": true, ""Tempat duduk"": true}, ""Fasilitas"": {""Toilet"": true, ""Toilet netral gender"": true}, ""Suasana"": {""Nyaman"": true, ""Santai"": true}, ""Tipe pengunjung"": {""Berkelompok"": true}, ""Pembayaran"": {""Kartu debit"": true, ""Kartu kredit"": true, ""Pembayaran NFC dengan ponsel"": true}, ""Parkir"": {""Parkir"": true, ""Parkir di jalan berbayar"": true, ""Tempat parkir berbayar"": true}, ""Hewan Peliharaan"": {""Anjing boleh masuk"": true}}",$$,,https://lh3.googleusercontent.com/-pXVm6tlvLyQ/AAAAAAAAAAI/AAAAAAAAAAA/iFCY7oQARSI/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,101618004163084742689,Kopi Toko Djawa,https://www.google.com/maps/contrib/101618004163084742689,,https://gofood.co.id/jakarta/restaurant/4d5a813e-0f98-4f75-8b76-2b714e120652?as=gmaps,,https://gofood.co.id/jakarta/restaurant/4d5a813e-0f98-4f75-8b76-2b714e120652?as=gmaps,"https://www.google.com/maps/place/Kopi+Toko+Djawa+%28Braga%29/@-6.9174516,107.609234,14z/data=!4m8!1m2!2m1!1sKopi+Toko+Djawa+%28Braga%29!3m4!1s0x2e68e73dd7d12d7f:0x55a80015d69222be!8m2!3d-6.9174516!4d107.609234","https://www.google.com/maps/place/Kopi+Toko+Djawa+%28Braga%29/@-6.9174516,107.609234,13.99z/data=!4m16!1m7!3m6!1s0x2e68e73dd7d12d7f:0x55a80015d69222be!2sKopi+Toko+Djawa+%28Braga%29!8m2!3d-6.9174516!4d107.609234!16s%2Fg%2F11ckvg1dmb!3m7!1s0x2e68e73dd7d12d7f:0x55a80015d69222be!8m2!3d-6.9174516!4d107.609234!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJfy3R1z3naC4RviKS1hUAqFU,0x2e68e73dd7d12d7f:0x55a80015d69222be,6172183383105479358,/g/11f3jnbqts,6172183383105479358,
"coffee, Bandung, West Java, ID",Paris Van Java Cafe & Resto Speciality Coffee,Paris Van Java Cafe And Resto Speciality Coffee,https://instagram.com/pvjcafe_ambon11?igshid=MzMyNGUyNmU2YQ==,"Kedai Kopi, Kafe",kafe,Kedai Kopi,+62 878-2159-9183,"Jl. Ambon No.11, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115","Citarum, Kecamatan Bandung Wetan",Jl. Ambon No.11,Kota Bandung,40115,Jawa Barat,,Indonesia,ID,-6.9074426,107.6163781,898c1479e43ffff,Asia/Jakarta,,FALSE,4.4,850,"https://search.google.com/local/reviews?placeid=ChIJ4R7hCUrmaC4RaUMRX-1rhIY&q=coffee,+Bandung,+West+Java,+ID&authuser=0&hl=in&gl=ID",,,12,10,112,205,511,590,https://lh5.googleusercontent.com/p/AF1QipNltY78uPmNORs1JSIhO9saZs5yPs9wRB61fJlD=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNltY78uPmNORs1JSIhO9saZs5yPs9wRB61fJlD=w1600-h1000-k-no,,"{""Senin"": ""07.00-23.00"", ""Selasa"": ""07.00-23.00"", ""Rabu"": ""07.00-23.00"", ""Kamis"": ""07.00-23.00"", ""Jumat"": ""07.00-23.00"", ""Sabtu"": ""07.00-23.00"", ""Minggu"": ""07.00-23.00""}",Senin:07.00-23.00|Selasa:07.00-23.00|Rabu:07.00-23.00|Kamis:07.00-23.00|Jumat:07.00-23.00|Sabtu:07.00-23.00|Minggu:07.00-23.00,,,OPERATIONAL,"{""Opsi layanan"": {""Tempat duduk di area terbuka"": true, ""Antar tanpa bertemu"": true, ""Pesan antar"": true, ""Bawa pulang"": true, ""Makan di tempat"": true}, ""Keunggulan"": {""Musik live"": true, ""Olahraga"": true}, ""Penawaran"": {""Hidangan larut malam"": true, ""Kopi"": true}, ""Pilihan makan"": {""Sarapan"": true, ""Brunch"": true, ""Makan siang"": true, ""Makan malam"": true, ""Hidangan penutup"": true, ""Tempat duduk"": true}, ""Fasilitas"": {""Toilet"": true, ""Toilet netral gender"": true, ""Wi-Fi"": true}, ""Suasana"": {""Nyaman"": true, ""Santai"": true}, ""Tipe pengunjung"": {""Berkelompok"": true, ""Ramah keluarga"": true}, ""Perencanaan"": {""Menerima reservasi"": true}, ""Pembayaran"": {""Hanya tunai"": true}, ""Anak-anak"": {""Cocok untuk anak-anak"": true, ""Menu anak"": true}, ""Parkir"": {""Parkir"": true, ""Parkir di jalan berbayar"": true, ""Tempat parkir berbayar"": true}}",$$,,https://lh6.googleusercontent.com/-MppjbVj7gKE/AAAAAAAAAAI/AAAAAAAAAAA/fjC8nWC2QmY/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,112683889271935978966,Paris Van Java Cafe & Resto Speciality Coffee,https://www.google.com/maps/contrib/112683889271935978966,https://www.instagram.com/pvjcafe_ambon11,https://www.instagram.com/pvjcafe_ambon11,,https://www.instagram.com/pvjcafe_ambon11,"https://www.google.com/maps/place/Paris+Van+Java+Cafe+%26+Resto+Speciality+Coffee/@-6.9074425999999995,107.61637809999999,14z/data=!4m8!1m2!2m1!1sParis+Van+Java+Cafe+%26+Resto+Speciality+Coffee!3m4!1s0x2e68e64a09e11ee1:0x86846bed5f114369!8m2!3d-6.9074425999999995!4d107.61637809999999","https://www.google.com/maps/place/Paris+Van+Java+Cafe+%26+Resto+Speciality+Coffee/@-6.9074425999999995,107.61637809999999,13.99z/data=!4m16!1m7!3m6!1s0x2e68e64a09e11ee1:0x86846bed5f114369!2sParis+Van+Java+Cafe+%26+Resto+Speciality+Coffee!8m2!3d-6.9074425999999995!4d107.61637809999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x2e68e64a09e11ee1:0x86846bed5f114369!8m2!3d-6.9074425999999995!4d107.61637809999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ4R7hCUrmaC4RaUMRX-1rhIY,0x2e68e64a09e11ee1:0x86846bed5f114369,9692990965254538089,/g/11b6d6nrwx,-8753753108455013527,
"coffee, Bandung, West Java, ID",Jadid Coffee Roastery,Jadid Coffee Roastery,,Kedai Kopi,kedai kopi,Kedai Kopi,+62 22 20502566,"Ruko Puri Dago Jl. Terusan Jakarta Kav 44 No 368, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40116","Sukamiskin, Kecamatan Arcamanik",Ruko Puri Dago Jl. Terusan Jakarta Kav 44 No 368,Kota Bandung,40116,Jawa Barat,,Indonesia,ID,-6.9174292,107.6690793,898c1479607ffff,Asia/Jakarta,,FALSE,4.6,524,"https://search.google.com/local/reviews?placeid=ChIJnRkIh0fmaC4RT5ulzqvAbz4&q=coffee,+Bandung,+West+Java,+ID&authuser=0&hl=in&gl=ID",,,13,4,27,94,386,385,https://lh5.googleusercontent.com/p/AF1QipM5jfXetVPYjfu0ypBGc9PquOTqsvylgSweNbO0=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM5jfXetVPYjfu0ypBGc9PquOTqsvylgSweNbO0=w1600-h1000-k-no,,"{""Senin"": ""07.00-22.00"", ""Selasa"": ""07.00-22.00"", ""Rabu"": ""07.00-22.00"", ""Kamis"": ""07.00-22.00"", ""Jumat"": ""07.00-22.00"", ""Sabtu"": ""07.00-22.00"", ""Minggu"": ""07.00-22.00""}",Senin:07.00-22.00|Selasa:07.00-22.00|Rabu:07.00-22.00|Kamis:07.00-22.00|Jumat:07.00-22.00|Sabtu:07.00-22.00|Minggu:07.00-22.00,,,OPERATIONAL,"{""Opsi layanan"": {""Tempat duduk di area terbuka"": true, ""Antar tanpa bertemu"": true, ""Pesan antar"": true, ""Bawa pulang"": true, ""Makan di tempat"": true}, ""Aksesibilitas"": {""Kursi khusus pengguna kursi roda"": false, ""Pintu masuk khusus pengguna kursi roda"": false, ""Tempat parkir khusus pengguna kursi roda"": false}, ""Penawaran"": {""Kopi"": true}, ""Pilihan makan"": {""Brunch"": true, ""Makan siang"": true, ""Makan malam"": true, ""Hidangan penutup"": true, ""Tempat duduk"": true}, ""Fasilitas"": {""Toilet"": true}, ""Suasana"": {""Nyaman"": true, ""Santai"": true}, ""Tipe pengunjung"": {""Berkelompok"": true}, ""Perencanaan"": {""Menerima reservasi"": true}, ""Pembayaran"": {""Kartu kredit"": true}, ""Anak-anak"": {""Kursi tinggi"": true}, ""Parkir"": {""Parkir di jalan gratis"": true}}",$,,https://lh5.googleusercontent.com/-9sX2P_qsgLA/AAAAAAAAAAI/AAAAAAAAAAA/4tSX9gEDugY/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,103410218838500496929,Jadid Coffee Roastery,https://www.google.com/maps/contrib/103410218838500496929,,https://gofood.co.id/jakarta/restaurant/fad454a6-7056-485d-8d53-e1c58932d8bb?as=gmaps,,https://gofood.co.id/jakarta/restaurant/fad454a6-7056-485d-8d53-e1c58932d8bb?as=gmaps,"https://www.google.com/maps/place/Jadid+Coffee+Roastery/@-6.9174292,107.66907929999999,14z/data=!4m8!1m2!2m1!1sJadid+Coffee+Roastery!3m4!1s0x2e68e6478708199d:0x3e6fc0abcea59b4f!8m2!3d-6.9174292!4d107.66907929999999","https://www.google.com/maps/place/Jadid+Coffee+Roastery/@-6.9174292,107.66907929999999,13.99z/data=!4m16!1m7!3m6!1s0x2e68e6478708199d:0x3e6fc0abcea59b4f!2sJadid+Coffee+Roastery!8m2!3d-6.9174292!4d107.66907929999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x2e68e6478708199d:0x3e6fc0abcea59b4f!8m2!3d-6.9174292!4d107.66907929999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJnRkIh0fmaC4RT5ulzqvAbz4,0x2e68e6478708199d:0x3e6fc0abcea59b4f,4499026396905315151,/g/11f1yg4kkc,4499026396905315151,
